Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月26日 	_x86_64_	(40 CPU)

10时26分03秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
10时26分04秒 256194780 259831620   1845268      0.70     77144   4942664   6107312      2.30   1943600   4308936         8
10时26分05秒 256194568 259831412   1845508      0.70     77152   4942664   6107312      2.30   1943592   4308972        24
10时26分06秒 256056464 259693308   1983404      0.75     77152   4942664   6376616      2.40   1943636   4461796        24
10时26分07秒 255501980 259138920   2521896      0.96     77152   4953480   6948348      2.62   1943816   5009312        28
10时26分08秒 254907588 258544508   3101848      1.18     77152   4968680   7539956      2.84   1943860   5594300        28
10时26分09秒 254690488 258327412   3293160      1.25     77152   4994644   7750960      2.92   1943856   5801664        32
10时26分10秒 254677344 258314268   3300856      1.25     77160   5000052   7767504      2.92   1943864   5814020        48
10时26分11秒 254435520 258074796   3533208      1.34     77240   5005732   8001736      3.01   1943976   6047952        48
10时26分12秒 254406188 258045464   3554212      1.35     77240   5014036   8043636      3.03   1943972   6074732        48
10时26分13秒 254388952 258026324   3569076      1.35     77240   5016444   8035616      3.02   1943980   6086476        52
10时26分14秒 254381952 258019324   3574600      1.36     77240   5017876   8036760      3.02   1943960   6089960        52
10时26分15秒 254378956 258016328   3576744      1.36     77248   5018748   8037412      3.03   1943964   6091872        72
10时26分16秒 254379124 258016500   3575776      1.36     77248   5019536   8038048      3.03   1943972   6091856        72
10时26分17秒 254380184 258017560   3574152      1.36     77248   5020080   8038604      3.03   1943968   6092336        72
10时26分18秒 254377732 258015108   3576012      1.36     77248   5020648   8039176      3.03   1943972   6093372        72
10时26分19秒 254379456 258016832   3573776      1.36     77248   5021176   8040120      3.03   1943980   6094324        76
10时26分20秒 254379176 258016560   3573620      1.36     77256   5021604   8040748      3.03   1943988   6093700        76
10时26分21秒 254378588 258015972   3573344      1.36     77256   5022460   8041128      3.03   1943992   6095508        76
10时26分22秒 254379124 258016504   3572396      1.36     77256   5022856   8041996      3.03   1943988   6095208        76
10时26分23秒 254367016 258005908   3582352      1.36     77256   5025000   8031372      3.02   1943996   6094036      1592
10时26分24秒 254361828 258001080   3586568      1.36     77256   5025940   8062272      3.03   1943976   6108620      1972
10时26分25秒 254349336 257988616   3596180      1.36     77264   5028764   8086316      3.04   1943988   6128900         4
10时26分26秒 254319228 257958636   3624076      1.37     77264   5030976   8114992      3.05   1943996   6161280         8
10时26分27秒 254317308 257956716   3625400      1.38     77264   5031572   8115636      3.05   1943980   6162992         8
10时26分28秒 254315540 257954952   3626632      1.38     77268   5032160   8116140      3.05   1943996   6163836        64
10时26分29秒 254306168 257945576   3635488      1.38     77268   5032632   8095104      3.05   1944008   6153368       456
10时26分30秒 254306136 257945584   3634168      1.38     77276   5033904   8116552      3.05   1944012   6160208       120
10时26分31秒 254223204 257862652   3714940      1.41     77276   5036056   8200036      3.09   1944008   6253976       120
10时26分32秒 254188416 257827864   3746116      1.42     77276   5039668   8248048      3.10   1944012   6293924       120
10时26分33秒 254184392 257823840   3749452      1.42     77276   5040332   8249088      3.10   1944004   6298692       120
10时26分34秒 254183832 257823288   3749484      1.42     77276   5040844   8249676      3.11   1944016   6299428       120
10时26分35秒 254174564 257817316   3755008      1.42     77284   5044544   8226800      3.10   1947240   6287796       320
10时26分36秒 254173740 257816496   3754960      1.42     77284   5045408   8242184      3.10   1947244   6287188       128
10时26分37秒 254162156 257804920   3765712      1.43     77284   5046248   8261924      3.11   1947264   6314492       128
10时26分38秒 254123592 257766356   3801344      1.44     77284   5049180   8305792      3.13   1947248   6351244       128
10时26分39秒 254121060 257763812   3803592      1.44     77284   5049528   8306244      3.13   1947244   6355556       128
10时26分40秒 254116924 257759684   3807148      1.44     77292   5050068   8306784      3.13   1947256   6356124       136
10时26分41秒 254115620 257758376   3808180      1.44     77292   5050320   8307892      3.13   1947260   6357116       136
10时26分42秒 254107552 257753608   3812836      1.45     77292   5053672   8278584      3.12   1950496   6343196       340
10时26分43秒 254106780 257752836   3813432      1.45     77292   5053848   8296656      3.12   1950488   6345164       140
10时26分44秒 254109024 257755080   3810068      1.45     77292   5054984   8298376      3.12   1950508   6348380       140
10时26分45秒 254099464 257745528   3818508      1.45     77300   5056096   8320272      3.13   1950516   6367044       140
10时26分46秒 254098312 257744376   3819404      1.45     77300   5056352   8321504      3.13   1950508   6370952       140
10时26分47秒 254098788 257744852   3818576      1.45     77300   5056692   8321704      3.13   1950520   6371728       140
10时26分48秒 254089128 257735252   3827900      1.45     77300   5057028   8341156      3.14   1950512   6382436       140
10时26分49秒 254096244 257745676   3817392      1.45     77300   5060344   8313412      3.13   1953788   6350856       144
10时26分50秒 254096164 257745600   3816988      1.45     77308   5060812   8315040      3.13   1953796   6362396       144
10时26分51秒 254097080 257746524   3814980      1.45     77308   5061892   8325964      3.13   1953808   6370520       144
