Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月26日 	_x86_64_	(40 CPU)

11时08分39秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11时08分40秒 255291676 259805288   1854648      0.70     80592   5802152   6164336      2.32   2734696   4392440         4
11时08分41秒 255291352 259804964   1854964      0.70     80592   5802152   6164336      2.32   2734684   4392456         4
11时08分42秒 255291008 259804620   1855348      0.70     80592   5802152   6164336      2.32   2734696   4392472         4
11时08分43秒 255290896 259804508   1855400      0.70     80592   5802156   6164336      2.32   2734688   4392620         4
11时08分44秒 255291164 259804776   1855112      0.70     80592   5802152   6164336      2.32   2734696   4392528         4
11时08分45秒 255149356 259662992   1994176      0.76     80600   5802152   6434036      2.42   2734916   4544672         0
11时08分46秒 254547724 259061400   2581928      0.98     80600   5814408   7055720      2.66   2734952   5141332         8
11时08分47秒 253947032 258460712   3166936      1.20     80600   5830528   7653504      2.88   2734968   5731632         8
11时08分48秒 253759176 258272856   3331512      1.26     80600   5853808   7831780      2.95   2734968   5907856         8
11时08分49秒 253710020 258223700   3374324      1.28     80600   5860144   7879352      2.97   2734968   5956092         8
11时08分50秒 253465620 257979308   3613104      1.37     80608   5865732   8126736      3.06   2734972   6196740        44
11时08分51秒 255252784 259766432   1890532      0.72     80608   5802668   6164336      2.32   2732028   4395304         4
11时08分52秒 255248240 259761904   1895956      0.72     80608   5802156   6164356      2.32   2734720   4392568         8
11时08分53秒 255247288 259760952   1896908      0.72     80608   5802156   6164360      2.32   2734712   4392628         8
11时08分54秒 255248048 259761704   1896164      0.72     80608   5802156   6164360      2.32   2734720   4392600         8
11时08分55秒 255248016 259761676   1896176      0.72     80616   5802160   6164360      2.32   2734716   4392740        20
11时08分56秒 255248284 259761944   1895952      0.72     80616   5802156   6164360      2.32   2734716   4392620        20
11时08分57秒 255249056 259762716   1895180      0.72     80616   5802156   6164364      2.32   2734708   4392636         4
11时08分58秒 255248812 259762472   1895424      0.72     80616   5802156   6164364      2.32   2734720   4392624         4
11时08分59秒 255249560 259763216   1894680      0.72     80616   5802160   6164364      2.32   2734716   4392684         4
11时09分00秒 255249828 259763492   1894392      0.72     80624   5802156   6164364      2.32   2734720   4392664         4
11时09分01秒 255250396 259764048   1893848      0.72     80624   5802156   6164364      2.32   2734708   4392680         4
11时09分02秒 255251260 259764980   1892852      0.72     80624   5802156   6165992      2.32   2734732   4394064         0
11时09分03秒 255251732 259765480   1892444      0.72     80624   5802164   6164456      2.32   2734744   4392916         4
11时09分04秒 255252828 259766576   1891380      0.72     80624   5802156   6164456      2.32   2734732   4392980         4
11时09分05秒 255254136 259767872   1890080      0.72     80632   5802156   6164456      2.32   2734736   4392660         4
11时09分06秒 255254168 259767920   1890060      0.72     80632   5802152   6164456      2.32   2734732   4392260         4
11时09分07秒 255254668 259768420   1889548      0.72     80632   5802156   6164456      2.32   2734736   4392312         4
11时09分08秒 255255212 259768948   1889028      0.72     80632   5802156   6164456      2.32   2734744   4392300         0
11时09分09秒 255256132 259769880   1888072      0.72     80632   5802160   6164456      2.32   2734740   4392476         4
11时09分10秒 255256908 259770656   1887284      0.72     80640   5802156   6164456      2.32   2734744   4392304         4
11时09分11秒 255257232 259770972   1886980      0.72     80640   5802144   6164456      2.32   2734732   4392300         8
11时09分12秒 255258172 259771924   1885992      0.72     80640   5802160   6164456      2.32   2734744   4392304         8
11时09分13秒 255258652 259772424   1885500      0.72     80640   5802164   6164456      2.32   2734756   4392504         8
11时09分14秒 255258636 259772396   1885536      0.72     80640   5802160   6164456      2.32   2734752   4392468         0
11时09分15秒 255259352 259773120   1884788      0.72     80648   5802160   6164456      2.32   2734748   4392452        12
11时09分16秒 255259532 259773300   1884636      0.71     80648   5802164   6164456      2.32   2734760   4392544        12
11时09分17秒 255260628 259774392   1883544      0.71     80648   5802160   6164456      2.32   2734744   4392460        12
11时09分18秒 255260320 259774080   1883852      0.71     80648   5802160   6164456      2.32   2734756   4392520        12
11时09分19秒 255261512 259775332   1882600      0.71     80648   5802220   6164456      2.32   2734752   4392524        12
