Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月25日 	_x86_64_	(40 CPU)

15时03分36秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15时03分37秒 261915544 261079104    897708      0.34     40116    538944   3696392      1.39    216364    686236         4
15时03分38秒 261915828 261079388    897348      0.34     40116    538944   3693928      1.39    216344    685584         4
15时03分39秒 261916308 261079868    896828      0.34     40116    538944   3693928      1.39    216332    685556         4
15时03分40秒 261915248 261078808    897872      0.34     40116    538944   3693928      1.39    216340    686520         4
15时03分41秒 261916232 261079792    897080      0.34     40116    538944   3696392      1.39    216356    686272         4
15时03分42秒 261915460 261079020    897812      0.34     40124    538944   3693928      1.39    216344    685804        16
15时03分43秒 261892296 261059696    909668      0.35     42632    547108   3916344      1.47    217084    709620        16
15时03分44秒 261749232 260936096   1014616      0.38     43280    582152   3938272      1.48    220232    860928        16
15时03分45秒 261692104 260890228   1049076      0.40     43280    604532   3976584      1.50    220228    915624        16
15时03分46秒 261538888 260739348   1185012      0.45     43280    618264   4116236      1.55    220228   1063432        16
15时03分47秒 260393044 259599964   2317332      0.88     43356    629008   5383316      2.03    220260   2198392        24
15时03分48秒 260079840 259287308   2578384      0.98     43356    681088   5568784      2.10    220348   2491812        24
15时03分49秒 259502256 258712980   3142444      1.19     43356    694588   6134476      2.31    220356   3079932        24
15时03分50秒 258897996 258109528   3704084      1.41     43356    736672   6749220      2.54    220332   3679708        24
15时03分51秒 258739884 257951508   3860892      1.46     43356    737820   6915456      2.60    220348   3828640        24
15时03分52秒 258738140 257949792   3862588      1.47     43364    737820   6914104      2.60    220340   3829036        28
15时03分53秒 258737188 257948840   3863552      1.47     43364    737820   6915456      2.60    220352   3828704        28
15时03分54秒 258713316 257924984   3886984      1.47     43364    738196   6939052      2.61    220336   3849644        28
15时03分55秒 258710952 257922636   3888584      1.48     43364    738828   6940800      2.61    220356   3853836        28
15时03分56秒 256269644 255481404   6329716      2.40     43364    738964   9356568      3.52    220348   6295932        28
15时03分57秒 254764476 253976388   7834584      2.97     43372    739248  10860344      4.09    220372   7799772        28
15时03分58秒 253284740 252496652   9314272      3.53     43372    739248  12334440      4.64    220360   9274500        28
15时03分59秒 251822612 251034524  10776396      4.09     43372    739248  13798104      5.19    220368  10734460        28
15时04分00秒 250347952 249559864  12250984      4.65     43372    739248  15271140      5.75    220368  12209220        28
15时04分01秒 248879948 248091860  13718976      5.20     43372    739248  16738892      6.30    220372  13674716        28
15时04分02秒 247411644 246623564  15187180      5.76     43380    739248  18204656      6.85    220360  15138272        28
15时04分03秒 245954784 245166704  16644008      6.31     43380    739248  19662208      7.40    220384  16596504        28
15时04分04秒 244479520 243691448  18119196      6.87     43380    739248  21137116      7.96    220364  18070992        28
15时04分05秒 243121788 242333716  19476952      7.39     43380    739248  22492256      8.47    220372  19423940        28
15时04分06秒 241901712 241113640  20697012      7.85     43380    739248  23710784      8.92    220372  20643436        28
15时04分07秒 240863936 240075868  21734700      8.25     43388    739248  24744892      9.31    220392  21675412        24
15时04分08秒 239972308 239184240  22626316      8.58     43388    739252  25636416      9.65    220376  22568576        32
15时04分09秒 239066880 238278812  23531756      8.93     43388    739256  26538684      9.99    220384  23467988        32
15时04分10秒 238219456 237431392  24379028      9.25     43388    739256  27386468     10.31    220384  24317476        32
15时04分11秒 237471304 236683240  25127180      9.53     43388    739256  28131108     10.59    220392  25059836        32
15时04分12秒 236744136 235956072  25854348      9.81     43396    739256  28855168     10.86    220380  25787124        12
15时04分13秒 236137044 235348980  26461436     10.04     43396    739256  29463352     11.09    220380  26392924        12
15时04分14秒 235732076 234944016  26866344     10.19     43396    739268  29867208     11.24    220400  26797744        12
15时04分15秒 235419068 234631008  27179288     10.31     43396    739268  30181712     11.36    220400  27111492        12
15时04分16秒 235157884 234369824  27440392     10.41     43396    739268  30440172     11.46    220388  27371444        12
15时04分17秒 235000392 234212336  27597860     10.47     43404    739268  30598920     11.52    220396  27528924        12
15时04分18秒 233889756 233101768  28678548     10.88     43404    769192  31676412     11.92    220396  28614352        12
15时04分21秒 230923684 230135960  31639664     12.00     43404    774040  62273796     23.44    220396  31603680        12
15时04分25秒 230670688 229882468  31892644     12.10     43420    774036  62278292     23.44    220416  31856440        20
15时04分26秒 224437812 223650096  38125512     14.46     43428    774036  62282268     23.44    220424  38085864        36
15时04分27秒 218557120 217771020  43978544     16.68     43656    800952  62298392     23.45    220900  43948988       336
15时04分28秒 218554868 217768888  43980292     16.69     43656    801360  62298392     23.45    220800  43948260       336
15时04分29秒 218551096 217765128  43983820     16.69     43656    801616  62300100     23.45    220824  43949220       336
15时04分30秒 218547544 217761604  43987080     16.69     43656    801900  62298932     23.45    220816  43949580       336
15时04分31秒 218546860 217760924  43987744     16.69     43664    801900  62298932     23.45    220824  43949576       352
15时04分32秒 218546340 217760404  43988196     16.69     43664    801900  62298932     23.45    220820  43949592       352
15时04分33秒 218544308 217758624  43989716     16.69     43664    802404  62298932     23.45    220824  43950092       352
15时04分34秒 218540376 217754776  43993212     16.69     43664    802688  62300268     23.45    220824  43950356       352
15时04分35秒 218538076 217752500  43995484     16.69     43664    802688  62298932     23.45    220836  43950424       352
15时04分36秒 218537412 217751884  43996020     16.69     43672    802688  62298932     23.45    220840  43950492       352
15时04分37秒 218536496 217750996  43996784     16.69     43672    802688  62298932     23.45    220848  43950472       352
15时04分38秒 218536748 217751248  43996508     16.69     43672    802688  62298932     23.45    220832  43950488       352
15时04分39秒 218536480 217751000  43996760     16.69     43672    802688  62298932     23.45    220848  43950536       352
15时04分40秒 218535920 217750456  43997264     16.69     43672    802688  62298932     23.45    220840  43950508       352
15时04分41秒 218535644 217750184  43997508     16.69     43680    802688  62298932     23.45    220856  43950568       344
15时04分42秒 218534508 217749052  43998524     16.69     43680    802688  62298932     23.45    220844  43950736       348
15时04分43秒 218535060 217749608  43998004     16.69     43680    802688  62298932     23.45    220852  43950652       348
15时04分44秒 218531024 217745612  43999188     16.69     43680    805528  62301744     23.45    220880  43953492       348
15时04分45秒 218531144 217745732  43999064     16.69     43680    805580  62301744     23.45    220896  43953536       348
15时04分46秒 218531380 217745972  43998808     16.69     43688    805584  62301816     23.45    220896  43953652       360
15时04分47秒 218532436 217747044  43997680     16.69     43688    805656  62301816     23.45    220904  43953652       360
15时04分48秒 218532412 217747020  43997668     16.69     43688    805668  62303848     23.45    220892  43953672       360
15时04分49秒 218548556 217763236  43979392     16.68     43688    807816  62259568     23.43    220900  43913396       360
15时04分50秒 218546536 217761216  43981380     16.69     43688    807816  62259568     23.43    220896  43913424       360
15时04分51秒 218547844 217762528  43980128     16.69     43696    807816  62259568     23.43    220912  43913896       364
15时04分52秒 218548992 217763676  43978860     16.68     43696    807816  62259568     23.43    220904  43917620       364
15时04分53秒 218548968 217763652  43978876     16.68     43696    807816  62259568     23.43    220908  43918232       364
15时04分54秒 218549856 217764540  43978016     16.68     43696    807816  62259568     23.43    220904  43918336       364
15时04分55秒 218549588 217764272  43978280     16.68     43696    807816  62259568     23.43    220912  43918396       364
15时04分56秒 218550124 217764808  43977760     16.68     43704    807816  62259960     23.43    220900  43918448        16
15时04分57秒 218538816 217753500  43964868     16.68     43704    832024  62284120     23.44    220900  43943272        16
15时04分58秒 218539108 217753796  43964280     16.68     43704    832368  62284120     23.44    220908  43943800        16
15时04分59秒 218541532 217756220  43961836     16.68     43704    832368  62284120     23.44    220920  43943852        16
15时05分00秒 218541880 217756568  43961488     16.68     43704    832368  62284120     23.44    220912  43943880        16
15时05分01秒 218540432 217755124  43962924     16.68     43712    832368  62284120     23.44    220920  43947144        48
15时05分02秒 218535848 217750540  43967440     16.68     43712    832368  62284120     23.44    220936  43951428       204
15时05分03秒 218531824 217746520  43971460     16.68     43712    832368  62286428     23.44    220936  43953820       204
15时05分04秒 218525996 217740692  43977276     16.68     43712    832368  62294600     23.45    220936  43961020       204
15时05分05秒 218513008 217727704  43990156     16.69     43712    832380  62307768     23.45    220944  43973464       204
15时05分06秒 218510252 217724948  43992920     16.69     43712    832380  62307768     23.45    220936  43973568       204
