Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月26日 	_x86_64_	(40 CPU)

11时37分52秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11时37分53秒 254786556 259748988   1900132      0.72     83512   6241348   6131332      2.31   3154776   4421012         4
11时37分54秒 254787376 259749816   1899412      0.72     83512   6241348   6131332      2.31   3154780   4421020         4
11时37分55秒 254787148 259749588   1899640      0.72     83512   6241348   6131668      2.31   3154792   4421032         4
11时37分56秒 254786904 259749344   1899892      0.72     83512   6241340   6131664      2.31   3154784   4420976         4
11时37分57秒 254786636 259749076   1900152      0.72     83512   6241348   6131672      2.31   3154792   4421084         4
11时37分58秒 254787652 259750092   1899124      0.72     83524   6241348   6131668      2.31   3154780   4421048         0
11时37分59秒 254788456 259750896   1898384      0.72     83524   6241348   6131668      2.31   3154784   4421088         4
11时38分00秒 254789024 259751464   1897824      0.72     83524   6241348   6131668      2.31   3154784   4421088         4
11时38分01秒 254652804 259615244   2033288      0.77     83524   6241348   6405512      2.41   3154840   4575652         4
11时38分02秒 253584688 258546856   3088964      1.17     83524   6251928   7570812      2.85   3155060   5636256         8
11时38分03秒 253199780 258161956   3442108      1.31     83536   6283544   7872664      2.96   3155060   6015244        76
11时38分04秒 252147956 257110152   4411364      1.67     83536   6366024   8944328      3.37   3155064   7057844         4
11时38分05秒 252112912 257075256   4439504      1.68     83536   6372432   8990496      3.38   3155080   7095912         8
11时38分06秒 251564932 256527276   4984136      1.89     83536   6375776   9526624      3.59   3155072   7640140         8
11时38分07秒 251130452 256092796   5406928      2.05     83536   6387424   9956316      3.75   3155080   8071552         8
11时38分08秒 251122356 256084708   5404460      2.05     83544   6397972   9961620      3.75   3155076   8081000        16
11时38分09秒 251125160 256087512   5400572      2.05     83544   6399056   9907872      3.73   3155088   8054124         0
11时38分10秒 251125700 256088052   5398248      2.05     83544   6400884   9913932      3.73   3155076   8055988         4
11时38分11秒 251128428 256090776   5390344      2.04     83544   6406060   9915372      3.73   3155088   8060740         4
11时38分12秒 251127032 256087136   5393192      2.05     83544   6404668   9917092      3.73   3155076   8061352       164
11时38分13秒 251128568 256088680   5389748      2.04     83552   6406536   9917672      3.73   3155080   8062552        60
11时38分14秒 251129704 256089832   5388008      2.04     83552   6407140   9918140      3.73   3155084   8063416        60
11时38分15秒 251127956 256088088   5389636      2.04     83552   6407252   9918488      3.73   3155092   8063632         4
11时38分16秒 251130940 256091072   5386260      2.04     83552   6407596   9918492      3.73   3155084   8063784         8
11时38分17秒 251131260 256091392   5385620      2.04     83552   6407908   9918812      3.73   3155088   8063980         8
11时38分18秒 251131504 256091644   5385060      2.04     83560   6408240   9919236      3.73   3155088   8064172        16
11时38分19秒 251133992 256094136   5382456      2.04     83560   6408332   9919484      3.73   3155096   8064388        20
11时38分20秒 251132464 256092612   5383728      2.04     83560   6408572   9919488      3.73   3155092   8064620         4
11时38分21秒 251127204 256089608   5386268      2.04     83560   6411264   9922328      3.73   3155104   8069568      2256
11时38分22秒 251129732 256092140   5383024      2.04     83560   6411972   9924304      3.74   3155096   8070264      2256
11时38分23秒 251127936 256090356   5380784      2.04     83568   6415976   9927228      3.74   3155108   8074156      2276
11时38分24秒 251127800 256090224   5380532      2.04     83568   6416356   9927424      3.74   3155100   8074564      2280
11时38分25秒 251129804 256092228   5378456      2.04     83568   6416452   9927708      3.74   3155096   8075280         8
11时38分26秒 251129520 256091948   5378436      2.04     83568   6416732   9927988      3.74   3155104   8075496        12
11时38分27秒 251130300 256092728   5377388      2.04     83568   6417000   9928208      3.74   3155112   8075468        12
11时38分28秒 251130280 256092716   5377168      2.04     83576   6417192   9928212      3.74   3155108   8075724        28
11时38分29秒 251129004 256091440   5378128      2.04     83576   6417500   9928524      3.74   3155120   8075936        28
11时38分30秒 251127608 256090044   5379352      2.04     83576   6417672   9928740      3.74   3155112   8076360         4
11时38分31秒 251128416 256087828   5381524      2.04     83576   6414716   9929080      3.74   3152092   8076424       516
11时38分32秒 251126912 256089348   5379668      2.04     83576   6418076   9929124      3.74   3155112   8076732        20
11时38分33秒 251126828 256089280   5378944      2.04     83584   6418868   9930744      3.74   3155124   8077280        52
11时38分34秒 251126928 256089380   5375708      2.04     83584   6421996   9933432      3.74   3155116   8080648        52
11时38分35秒 251127432 256089888   5374692      2.04     83588   6422496   9933544      3.74   3155132   8081544         4
11时38分36秒 251127416 256089872   5374668      2.04     83588   6422528   9933744      3.74   3155124   8081560         8
11时38分37秒 251128404 256090860   5373480      2.04     83588   6422712   9934012      3.74   3155132   8081552         8
11时38分38秒 251127616 256090080   5373980      2.04     83596   6422976   9934020      3.74   3155116   8081748        36
11时38分39秒 251127820 256090284   5373508      2.04     83596   6423236   9934264      3.74   3155140   8081920        40
11时38分40秒 251126812 256089280   5374344      2.04     83596   6423408   9934484      3.74   3155132   8082044         0
11时38分41秒 251125796 256088264   5375220      2.04     83596   6423540   9934664      3.74   3155140   8082120         8
11时38分42秒 251126052 256088520   5374876      2.04     83596   6423628   9934668      3.74   3155132   8082288         8
11时38分43秒 251126044 256088484   5374604      2.04     83604   6423868   9934952      3.74   3155100   8082536        28
11时38分44秒 251127452 256089892   5372872      2.04     83604   6424184   9936140      3.74   3155100   8082832        28
11时38分45秒 251127276 256089720   5370832      2.04     83604   6426400   9937900      3.74   3155104   8084908         0
11时38分46秒 251126492 256088936   5371080      2.04     83604   6426928   9938048      3.74   3155100   8085328         8
11时38分47秒 251127044 256089488   5370476      2.04     83604   6426964   9938232      3.74   3155108   8085368        12
11时38分48秒 251126776 256089240   5370540      2.04     83612   6427144   9938348      3.74   3155100   8085672        44
11时38分49秒 251125776 256088240   5371432      2.04     83612   6427252   9938348      3.74   3155116   8085840        44
11时38分50秒 251123984 256086448   5373032      2.04     83612   6427436   9938536      3.74   3155108   8086212        44
11时38分51秒 251122984 256085456   5373916      2.04     83612   6427544   9938656      3.74   3155108   8086252         4
11时38分52秒 251122992 256085444   5373916      2.04     83612   6427536   9938760      3.74   3155080   8086288       324
11时38分53秒 251120936 256083396   5375864      2.04     83620   6427636   9938772      3.74   3155096   8086452        56
11时38分54秒 251120196 256082652   5376216      2.04     83620   6428016   9939308      3.74   3155092   8087024        56
11时38分55秒 251118972 256081436   5375772      2.04     83620   6429660   9940856      3.74   3155100   8088924        56
11时38分56秒 251120484 256082948   5374116      2.04     83620   6429804   9940972      3.74   3155092   8089192         4
11时38分57秒 251120004 256082472   5374540      2.04     83620   6429860   9941000      3.74   3155100   8089196        12
11时38分58秒 251121132 256083608   5373364      2.04     83628   6429892   9941044      3.74   3155092   8089216        24
11时38分59秒 251118092 256080564   5376396      2.04     83628   6429900   9941164      3.74   3155104   8089260        24
11时39分00秒 251118980 256081452   5375388      2.04     83628   6430020   9941168      3.74   3155100   8089272        24
11时39分01秒 251116192 256078664   5378124      2.04     83628   6430064   9941252      3.74   3155108   8089300         4
11时39分02秒 251117788 256080212   5376520      2.04     83628   6430116   9941280      3.74   3155028   8089412       300
11时39分03秒 251117536 256080020   5376760      2.04     83636   6430120   9941636      3.74   3155040   8089468        52
11时39分04秒 251115452 256077940   5377244      2.04     83636   6431720   9943280      3.74   3155028   8090664        52
11时39分05秒 251115744 256078224   5376652      2.04     83636   6432036   9943316      3.74   3155044   8091252        52
11时39分06秒 251115760 256078240   5376532      2.04     83636   6432140   9943312      3.74   3155032   8091736         4
11时39分07秒 251116004 256078484   5376240      2.04     83636   6432188   9943364      3.74   3155044   8091360         8
11时39分08秒 251117240 256079728   5374932      2.04     83644   6432236   9943420      3.74   3155040   8091376        16
11时39分09秒 251115988 256078480   5376132      2.04     83644   6432288   9943472      3.74   3155052   8091364        20
11时39分10秒 251116980 256079472   5375100      2.04     83644   6432320   9943516      3.74   3155044   8091376        20
11时39分11秒 251115972 256078464   5376092      2.04     83644   6432328   9943516      3.74   3155052   8091368         4
11时39分12秒 251114940 256077396   5377132      2.04     83644   6432340   9943560      3.74   3155028   8091392        16
11时39分13秒 251112916 256075384   5378900      2.04     83652   6432588   9944288      3.74   3155036   8091464        56
11时39分14秒 251113132 256075604   5377680      2.04     83652   6433544   9945012      3.74   3155036   8092064        56
11时39分15秒 251114408 256076872   5376156      2.04     83652   6433792   9945016      3.74   3155044   8092288        56
11时39分16秒 251115136 256077604   5375388      2.04     83652   6433800   9945036      3.74   3155036   8093188        60
11时39分17秒 251115120 256077600   5375356      2.04     83652   6433820   9945088      3.74   3155032   8093192         4
11时39分18秒 251114584 256077072   5375820      2.04     83660   6433868   9945092      3.74   3155040   8093200        24
11时39分19秒 251115616 256078096   5374780      2.04     83660   6433892   9945124      3.74   3155052   8093188        24
11时39分20秒 251115600 256078080   5374756      2.04     83660   6433924   9945156      3.74   3155040   8093212        24
11时39分21秒 251116372 256078832   5374000      2.04     83660   6433908   9945196      3.74   3155024   8093208       300
11时39分22秒 251116348 256078812   5373980      2.04     83660   6433944   9945212      3.74   3155020   8093244         0
11时39分23秒 251114844 256077316   5374720      2.04     83668   6434692   9946200      3.74   3155032   8093608        44
11时39分24秒 251115836 256078308   5373124      2.04     83668   6435296   9946684      3.74   3155028   8094064        44
